y,x,frame,t,vial,climbing,1
276.44,215.29,61,2.44,1,climbing,
108.92,171.97,61,2.44,1,climbing,
45.53,167.4,61,2.44,1,climbing,
32.17,228.19,61,2.44,1,climbing,
26.71,175.93,61,2.44,1,climbing,
278.64,215.05,62,2.48,1,climbing,
109.01,170.86,62,2.48,1,climbing,
45.72,167.26,62,2.48,1,climbing,
34.72,172.85,62,2.48,1,climbing,
32.18,228.2,62,2.48,1,climbing,
278.75,216.03,63,2.52,1,climbing,
109.83,166.21,63,2.52,1,climbing,
45.95,167.25,63,2.52,1,climbing,
35.81,171.78,63,2.52,1,climbing,
32.3,228.18,63,2.52,1,climbing,
281.74,214.19,64,2.56,1,climbing,
109.95,164.21,64,2.56,1,climbing,
46.36,167.04,64,2.56,1,climbing,
36.94,171.26,64,2.56,1,climbing,
32.28,228.14,64,2.56,1,climbing,
285.7,212.93,65,2.6,1,climbing,
109.35,164.12,65,2.6,1,climbing,
46.41,167.02,65,2.6,1,climbing,
36.92,170.78,65,2.6,1,climbing,
32.18,228.17,65,2.6,1,climbing,
289.63,213.81,66,2.64,1,climbing,
108.1,162.32,66,2.64,1,climbing,
46.76,166.99,66,2.64,1,climbing,
36.91,168.95,66,2.64,1,climbing,
32.17,228.17,66,2.64,1,climbing,
292.4,212.08,67,2.68,1,climbing,
107.87,162.08,67,2.68,1,climbing,
47.34,166.86,67,2.68,1,climbing,
45.47,174.81,67,2.68,1,climbing,
37.16,168.01,67,2.68,1,climbing,
32.17,228.17,67,2.68,1,climbing,
293.7,211.28,68,2.72,1,climbing,
107.05,162.06,68,2.72,1,climbing,
47.57,166.8,68,2.72,1,climbing,
45.51,174.82,68,2.72,1,climbing,
38.84,167.08,68,2.72,1,climbing,
32.27,228.13,68,2.72,1,climbing,
295.79,212.88,69,2.76,1,climbing,
106.89,162.06,69,2.76,1,climbing,
48.18,167.04,69,2.76,1,climbing,
44.87,174.83,69,2.76,1,climbing,
39.93,165.84,69,2.76,1,climbing,
32.27,228.15,69,2.76,1,climbing,
300.3,211.61,70,2.8,1,climbing,
106.87,162.03,70,2.8,1,climbing,
41.83,164.84,70,2.8,1,climbing,
32.17,228.18,70,2.8,1,climbing,
302.63,211.79,71,2.84,1,climbing,
106.97,161.94,71,2.84,1,climbing,
43.75,164.08,71,2.84,1,climbing,
32.26,228.12,71,2.84,1,climbing,
302.74,213.33,72,2.88,1,climbing,
106.72,161.1,72,2.88,1,climbing,
44.91,163.18,72,2.88,1,climbing,
32.17,228.12,72,2.88,1,climbing,
305.76,212.36,73,2.92,1,climbing,
106.61,161.0,73,2.92,1,climbing,
48.47,162.21,73,2.92,1,climbing,
32.38,228.13,73,2.92,1,climbing,
309.68,211.91,74,2.96,1,climbing,
105.72,160.19,74,2.96,1,climbing,
50.66,162.2,74,2.96,1,climbing,
32.53,228.36,74,2.96,1,climbing,
311.67,212.95,75,3.0,1,climbing,
105.73,159.94,75,3.0,1,climbing,
51.76,162.3,75,3.0,1,climbing,
32.69,229.25,75,3.0,1,climbing,
313.76,211.19,76,3.04,1,climbing,
105.25,159.21,76,3.04,1,climbing,
54.57,161.97,76,3.04,1,climbing,
32.69,229.17,76,3.04,1,climbing,
317.61,210.73,77,3.08,1,climbing,
105.12,158.97,77,3.08,1,climbing,
57.34,162.35,77,3.08,1,climbing,
32.81,229.04,77,3.08,1,climbing,
315.83,211.73,78,3.12,1,climbing,
104.96,158.84,78,3.12,1,climbing,
59.5,162.74,78,3.12,1,climbing,
32.97,228.71,78,3.12,1,climbing,
321.66,211.41,79,3.16,1,climbing,
104.43,158.81,79,3.16,1,climbing,
62.23,162.79,79,3.16,1,climbing,
33.11,228.96,79,3.16,1,climbing,
324.66,210.07,80,3.2,1,climbing,
104.54,158.85,80,3.2,1,climbing,
62.82,163.12,80,3.2,1,climbing,
51.73,166.91,80,3.2,1,climbing,
33.17,229.27,80,3.2,1,climbing,
322.89,211.61,81,3.24,1,climbing,
103.99,159.18,81,3.24,1,climbing,
63.98,163.01,81,3.24,1,climbing,
52.4,166.51,81,3.24,1,climbing,
33.24,229.99,81,3.24,1,climbing,
329.6,212.2,82,3.28,1,climbing,
104.41,159.1,82,3.28,1,climbing,
70.65,163.76,82,3.28,1,climbing,
52.37,166.48,82,3.28,1,climbing,
33.51,230.79,82,3.28,1,climbing,
330.74,211.06,83,3.32,1,climbing,
104.45,158.87,83,3.32,1,climbing,
70.81,164.19,83,3.32,1,climbing,
52.3,166.47,83,3.32,1,climbing,
34.0,230.95,83,3.32,1,climbing,
332.72,212.21,84,3.36,1,climbing,
104.65,159.11,84,3.36,1,climbing,
73.01,164.13,84,3.36,1,climbing,
52.24,166.46,84,3.36,1,climbing,
34.07,231.24,84,3.36,1,climbing,
335.54,212.73,85,3.4,1,climbing,
104.96,159.37,85,3.4,1,climbing,
77.78,164.65,85,3.4,1,climbing,
51.8,166.57,85,3.4,1,climbing,
34.3,232.11,85,3.4,1,climbing,
337.53,212.09,86,3.44,1,climbing,
105.5,159.46,86,3.44,1,climbing,
79.88,165.3,86,3.44,1,climbing,
52.19,166.27,86,3.44,1,climbing,
35.22,233.94,86,3.44,1,climbing,
339.61,212.11,87,3.48,1,climbing,
105.74,159.64,87,3.48,1,climbing,
82.83,165.05,87,3.48,1,climbing,
51.83,166.49,87,3.48,1,climbing,
35.3,234.65,87,3.48,1,climbing,
340.71,212.95,88,3.52,1,climbing,
106.55,159.76,88,3.52,1,climbing,
87.67,165.72,88,3.52,1,climbing,
51.55,166.77,88,3.52,1,climbing,
35.36,234.94,88,3.52,1,climbing,
342.73,212.33,89,3.56,1,climbing,
107.62,159.8,89,3.56,1,climbing,
87.85,165.87,89,3.56,1,climbing,
35.61,235.67,89,3.56,1,climbing,
347.52,211.9,90,3.6,1,climbing,
107.98,159.31,90,3.6,1,climbing,
90.82,166.1,90,3.6,1,climbing,
35.7,235.95,90,3.6,1,climbing,
344.91,212.84,91,3.64,1,climbing,
111.57,159.65,91,3.64,1,climbing,
95.64,166.65,91,3.64,1,climbing,
35.84,236.54,91,3.64,1,climbing,
350.6,213.7,92,3.68,1,climbing,
113.41,159.99,92,3.68,1,climbing,
96.53,165.96,92,3.68,1,climbing,
35.83,236.71,92,3.68,1,climbing,
350.69,213.79,93,3.72,1,climbing,
114.69,160.25,93,3.72,1,climbing,
102.92,166.68,93,3.72,1,climbing,
35.83,236.97,93,3.72,1,climbing,
350.9,216.69,94,3.76,1,climbing,
116.57,160.76,94,3.76,1,climbing,
