y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,particle,track_completeness,vial
480.7188392857143,891.7660317460317,390,140660,0.454,30.43,390,0.0,2,0.08,True,33,0.9793103448275862,5.0
488.4188392857143,233.97603174603174,496,140660,0.387,36.01,496,0.0,2,0.08,True,34,0.22758620689655173,1.0
477.30883928571427,567.9960317460317,703,140660,0.162,47.42,703,0.0,2,0.08,True,35,0.9172413793103448,3.0
485.9688392857143,965.1360317460317,351,140660,0.569,29.41,351,0.0,2,0.08,True,36,0.9793103448275862,5.0
484.75883928571426,1146.8360317460317,436,140660,0.469,32.96,436,0.0,2,0.08,True,37,0.11724137931034483,6.0
481.13883928571425,351.9160317460317,371,140660,0.389,33.47,371,0.0,2,0.08,True,38,0.9724137931034482,2.0
477.9888392857143,528.1460317460317,575,140660,0.168,38.8,575,0.0,2,0.08,True,39,0.2896551724137931,3.0
486.88883928571425,368.8460317460317,553,140660,0.345,46.4,553,0.0,2,0.08,True,42,0.20689655172413793,2.0
485.68883928571427,1112.8260317460317,199,140660,0.324,18.76,199,0.0,2,0.08,False,43,0.020689655172413793,0.0
489.1088392857143,768.0460317460318,381,140660,0.517,36.51,381,0.0,2,0.08,True,44,0.2896551724137931,4.0
492.7788392857143,741.0560317460317,168,140660,0.505,13.69,168,0.0,2,0.08,False,45,0.9862068965517241,0.0
487.0488392857143,920.9660317460317,526,140660,0.503,42.35,526,0.0,2,0.08,True,46,1.0,5.0
486.88883928571425,1083.8960317460317,377,140660,0.346,25.1,377,0.0,2,0.08,True,48,0.903448275862069,6.0
486.0988392857143,1155.8560317460317,371,140660,0.232,26.37,371,0.0,2,0.08,True,49,0.9172413793103448,6.0
483.1788392857143,704.6760317460318,225,140660,0.064,20.03,225,0.1,2,0.08,False,50,0.9448275862068966,0.0
486.25883928571426,613.0860317460317,397,140660,0.308,35.5,397,0.0,2,0.08,True,51,0.6827586206896552,3.0
482.0288392857143,882.2860317460318,401,140660,0.228,25.86,401,0.0,2,0.08,True,52,0.9448275862068966,5.0
484.3488392857143,719.5660317460317,281,140660,0.124,21.05,281,0.0,2,0.08,False,53,0.9586206896551724,0.0
490.76883928571425,894.1760317460318,361,140660,0.199,22.82,361,0.0,2,0.08,False,54,0.8689655172413793,0.0
489.88883928571425,789.4460317460317,335,140660,0.345,29.41,335,0.0,2,0.08,True,55,0.9793103448275862,4.0
490.8588392857143,947.0760317460317,438,140660,0.173,30.43,438,0.0,2,0.08,True,56,0.04827586206896552,5.0
490.55883928571427,1133.5160317460318,231,140660,0.261,22.31,231,0.1,2,0.08,False,57,0.47586206896551725,0.0
492.57883928571425,550.7860317460318,313,140660,0.395,24.34,313,0.0,2,0.08,True,58,0.15172413793103448,3.0
491.9788392857143,604.0460317460318,466,140660,0.424,34.74,466,0.0,2,0.08,True,59,0.9586206896551724,3.0
490.0488392857143,212.04603174603176,673,140660,0.405,45.14,673,0.0,2,0.08,True,61,0.993103448275862,1.0
491.3588392857143,908.8560317460317,474,140660,0.303,36.77,474,0.0,2,0.08,True,62,0.9241379310344827,5.0
486.63883928571425,728.1660317460318,586,140660,0.412,43.11,586,0.0,2,0.08,True,63,0.22758620689655173,4.0
494.9188392857143,1109.1760317460316,277,140660,0.428,23.84,277,0.0,2,0.08,False,65,0.04827586206896552,0.0
495.7288392857143,370.82603174603173,271,140660,0.407,21.3,271,0.1,2,0.08,False,66,0.06206896551724138,0.0
506.0488392857143,1064.1160317460317,270,140660,0.432,22.31,270,0.0,2,0.08,False,67,0.06896551724137931,0.0
490.25883928571426,396.9860317460317,263,140660,0.373,21.55,263,0.0,2,0.08,False,68,0.09655172413793103,0.0
491.50883928571426,586.0760317460317,418,140660,0.284,30.43,418,0.0,2,0.08,True,69,0.0896551724137931,3.0
511.5988392857143,255.12603174603177,194,140660,0.32,16.99,194,0.1,2,0.08,False,71,0.06206896551724138,0.0
513.7488392857143,1081.9060317460317,149,140660,0.275,13.19,149,0.1,2,0.08,False,74,0.3724137931034483,0.0
491.6188392857143,956.2560317460317,283,140660,0.305,25.1,283,0.1,2,0.08,True,75,0.3724137931034483,5.0
491.4888392857143,380.8660317460317,205,140660,0.224,20.79,205,0.1,2,0.08,False,76,0.4413793103448276,0.0
488.7388392857143,1100.1660317460316,402,140660,0.354,26.12,402,0.0,2,0.08,True,88,0.9862068965517241,6.0
409.5044844470046,236.54070916538657,581,140660,0.297,47.28,581,0.0,3,0.12,True,0,1.0,1.0
419.4944844470046,560.9607091653866,697,140660,0.264,51.75,697,0.0,3,0.12,True,2,0.993103448275862,3.0
422.1044844470046,1159.5907091653867,669,140660,0.261,44.23,669,0.0,3,0.12,True,3,0.47586206896551725,6.0
426.4344844470046,1081.3907091653866,643,140660,0.27,47.52,643,0.0,3,0.12,True,4,1.0,6.0
450.1244844470046,1075.8607091653867,609,140660,0.318,47.05,609,0.0,3,0.12,True,5,0.8827586206896552,6.0
452.1544844470046,1067.3807091653866,627,140660,0.284,43.76,627,0.0,3,0.12,True,6,1.0,6.0
470.9344844470046,546.5507091653866,603,140660,0.285,39.29,603,0.0,3,0.12,True,7,0.5241379310344828,3.0
464.0944844470046,754.6707091653866,645,140660,0.425,46.34,645,0.0,3,0.12,True,8,0.7034482758620689,4.0
469.9844844470046,173.59070916538658,376,140660,0.276,40.23,376,0.1,3,0.12,True,9,0.4827586206896552,1.0
472.0644844470046,1101.2307091653868,653,140660,0.496,57.64,653,0.0,3,0.12,True,11,0.9793103448275862,6.0
474.9444844470046,400.02070916538656,641,140660,0.073,46.81,641,0.0,3,0.12,True,12,1.0,2.0
474.0944844470046,1126.7107091653868,818,140660,0.249,50.81,818,0.0,3,0.12,True,13,0.8482758620689655,6.0
475.0344844470046,581.3407091653866,590,140660,0.305,41.87,590,0.0,3,0.12,True,14,0.9793103448275862,3.0
477.1744844470046,391.39070916538657,346,140660,0.257,42.58,346,0.0,3,0.12,True,15,0.993103448275862,2.0
482.3444844470046,1135.7607091653867,429,140660,0.427,34.82,429,0.0,3,0.12,True,16,0.993103448275862,6.0
472.0544844470046,609.3107091653866,639,140660,0.236,43.29,639,0.0,3,0.12,True,17,0.2206896551724138,3.0
480.1644844470046,597.4107091653866,448,140660,0.19,36.7,448,0.0,3,0.12,True,19,0.9862068965517241,3.0
475.8444844470046,1148.6507091653866,611,140660,0.26,46.11,611,0.0,3,0.12,True,20,1.0,6.0
485.1644844470046,740.2807091653866,457,140660,0.353,38.58,457,0.0,3,0.12,True,21,0.9310344827586207,4.0
478.3444844470046,745.5907091653866,841,140660,0.285,59.75,841,0.0,3,0.12,True,22,0.993103448275862,4.0
478.1544844470046,1069.4507091653868,704,140660,0.494,49.87,704,0.0,3,0.12,True,23,0.9103448275862069,6.0
483.6044844470046,958.3407091653866,346,140660,0.313,28.94,346,0.0,3,0.12,True,25,0.0896551724137931,5.0
477.7544844470046,413.77070916538656,484,140660,0.249,41.87,484,0.0,3,0.12,True,26,0.9793103448275862,2.0
479.2444844470046,763.7007091653866,718,140660,0.517,59.28,718,0.0,3,0.12,True,27,0.2620689655172414,4.0
479.5144844470046,549.4907091653865,430,140660,0.379,46.34,430,0.0,3,0.12,True,28,0.5103448275862069,3.0
